Employer,Registration_Date,Client_Current_Age,Parent_on_Enrolment,Gender,Ethnic_Origin,Has_Disability,Disability_details,Religion,Sexuality,Highest_Level_of_Education,Claiming_Benefits,Benefits,WARD_NAME
No Outcome,18-03-2021,44,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury West
No Outcome,04-05-2020,65,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,No religion / atheist,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Other benefit,Highbury West
Lbi Job Brokerage,25-08-2020,25,No,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Blanks,Blanks,ISCED Level 3 (Upper secondary education),Blanks,"Employment support allowance (ESA), Months on benefits",Mildmay
Khadega Alahdal,30-07-2018,28,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Muslim,Heterosexual,ISCED Level 0 (Early childhood education),Blanks,"Job seekers allowance (JSA), Months on benefits",Mildmay
No Outcome,16-04-2021,47,Blanks,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,16-04-2021,47,Yes,Female,(D) Black or Black British - Any other Black background,No,NULL,No religion / atheist,Heterosexual,Blanks,Yes,Universal credit (UC),Mildmay
No Outcome,22-04-2021,47,Blanks,Female,(D) Black or Black British - Any other Black background,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,18-06-2019,47,Yes,Female,(D) Black or Black British - Any other Black background,Prefer not to say,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Mildmay
No Outcome,17-06-2021,43,Blanks,Male,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,24-03-2021,66,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
Price Building Services Limited,06-08-2018,57,No,Male,(D) Black or Black British - Caribbean,Prefer not to say,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Highbury East
Willmott Dixon Wedmore Estate,06-08-2018,57,No,Male,(D) Black or Black British - Caribbean,Prefer not to say,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Highbury East
Hornsey Lane Estate Community Centre,29-05-2020,44,No,Female,(E) Other Ethnic Groups - Prefer not to say,No,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Mildmay
No Outcome,03-07-2021,44,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Mildmay
No Outcome,29-06-2021,45,Blanks,Male,(B) Mixed - White and Asian,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Mildmay
No Outcome,10-05-2021,49,Blanks,Female,(D) Black or Black British - Caribbean,No,NULL,Blanks,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Mildmay
No Outcome,10-04-2021,53,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,04-08-2021,40,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,11-07-2021,28,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
Camden,15-02-2019,46,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Job seekers allowance (JSA),Mildmay
No Outcome,26-02-2021,63,Blanks,Prefer not to say,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Mildmay
No Outcome,10-05-2021,40,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Mildmay
Caterlink,12-12-2019,46,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,"Income support (IS), Carers allowance",Mildmay
No Outcome,08-03-2021,46,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Mildmay
No Outcome,08-01-2018,121,Yes,Female,Not Known,Blanks,NULL,No response religion,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,"Income support (IS), Months on benefits",Mildmay
No Outcome,03-06-2021,24,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Mildmay
No Outcome,15-07-2021,31,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,11-05-2021,51,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,07-09-2021,46,Yes,Male,(A) White - British,Yes,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Highbury East
No Outcome,15-06-2021,41,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury East
Big Sky Studios,29-11-2018,28,No,Male,(B) Mixed - White and Black African,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Job seekers allowance (JSA),Highbury East
No Outcome,24-02-2021,46,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,23-06-2021,42,Blanks,Male,(D) Black or Black British - Other African,No,NULL,Blanks,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Woodberry Down
Islington Council,08-03-2018,22,No,Male,(A) White - British,Blanks,NULL,No religion / atheist,No response to sexuality,ISCED Level 3 (Upper secondary education),Blanks,"Job seekers allowance (JSA), Months on benefits",Woodberry Down
No Outcome,31-08-2021,37,Blanks,Female,(D) Black or Black British - Caribbean,No,NULL,Blanks,No response to sexuality,ISCED Level 7 (Master's or equivalent level),No,NULL,Springfield
No Outcome,31-08-2021,43,Blanks,Female,(D) Black or Black British - Caribbean,Yes,NULL,Blanks,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Other benefit,Stamford Hill West
No Outcome,18-09-2020,54,Yes,Male,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),Springfield
No Outcome,24-06-2021,34,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,27-02-2020,54,Blanks,Female,(E) Other Ethnic Groups - Prefer not to say,Yes,NULL,Blanks,Blanks,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Mildmay
No Outcome,11-11-2020,19,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,Mildmay
Mihomecare- Islington Branch,05-11-2020,49,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,No religion / atheist,Heterosexual,ISCED Level 5 (Short cycle tertiary education),No,Universal credit (UC),Mildmay
No Outcome,07-02-2020,25,No,Female,(D) Black or Black British - Any other Black background,Yes,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Mildmay
No Outcome,14-02-2019,26,Yes,Female,(A) White - British,No,NULL,Other religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Income support (IS),Mildmay
Mihomecare- Islington Branch,12-11-2020,62,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Mildmay
No Outcome,16-03-2021,46,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,21-01-2020,41,No,Male,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Mildmay
No Outcome,25-03-2021,60,Blanks,Female,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Mildmay
No Outcome,20-04-2021,37,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Prefer not to say sexuality,Blanks,Blanks,NULL,Mildmay
Galldris Construction Limited,01-02-2019,38,No,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),White Hart Lane
No Outcome,17-04-2019,33,No,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Highbury East
No Outcome,19-07-2021,17,No,Male,(D) Black or Black British - Any other Black background,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Highbury East
No Outcome,26-03-2019,48,Yes,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Highbury East
No Outcome,06-09-2021,53,Yes,Male,(E) Other Ethnic Groups - Arab,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Highbury East
No Outcome,03-04-2021,31,Blanks,Female,(B) Mixed - Any other Mixed background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,23-01-2018,56,Yes,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Blanks,"Income support (IS), Housing Benefit, Months on benefits",Highbury East
No Outcome,23-04-2021,29,Blanks,Female,(E) Other Ethnic Groups - Any other background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,29-03-2021,23,Blanks,Female,(A) White - Greek/ Greek Cypriot,Blanks,NULL,Other religion,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,07-06-2021,54,Blanks,Male,(A) White - Greek/ Greek Cypriot,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,13-05-2019,44,Yes,Female,(A) White - Kurdish,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 1 (Primary education),Yes,Universal credit (UC),Highbury East
No Outcome,29-03-2021,51,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,26-08-2021,35,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,08-03-2019,36,Yes,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Highbury East
No Outcome,07-07-2021,30,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Highgate
No Outcome,24-08-2021,57,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,10-03-2021,33,Blanks,Male,(A) White - British,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,24-01-2020,70,No,Female,(A) White - Greek/ Greek Cypriot,No,NULL,Other religion,Heterosexual,ISCED Level 1 (Primary education),No,Not in receipt of benefits,St George's
No Outcome,05-11-2019,51,No,Female,(A) White - Any other White background,Yes,NULL,Prefer not to say religion,Blanks,ISCED Level 3 (Upper secondary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA)",St George's
No Outcome,01-09-2021,23,Blanks,Female,(D) Black or Black British - Nigerian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,11-01-2021,40,Yes,Female,(A) White - British,Prefer not to say,NULL,Blanks,Blanks,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,07-05-2021,48,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Other sexuality,Blanks,Blanks,NULL,Finsbury Park
No Outcome,10-12-2020,44,No,Female,(D) Black or Black British - Eritrean,No,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,06-06-2021,34,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
Great Ormond Street Hospital,22-06-2021,40,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,09-01-2018,30,Yes,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),Blanks,Months on benefits,Finsbury Park
No Outcome,29-11-2018,27,No,Male,(A) White - British,No,NULL,Other religion,No response to sexuality,ISCED Level 4 (Post secondary - tertiary and non-tertiary),No,Not in receipt of benefits,Finsbury Park
Nhs Sutton,16-05-2018,34,No,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Blanks,Not in receipt of benefits,Finsbury Park
No Outcome,05-07-2018,44,No,Female,(D) Black or Black British - Other African,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Job seekers allowance (JSA),Finsbury Park
No Outcome,07-08-2019,56,No,Male,(D) Black or Black British - Other African,Yes,NULL,Other religion,Heterosexual,ISCED Level 5 (Short cycle tertiary education),Yes,Universal credit (UC),Finsbury Park
Gecotrans Limited,14-11-2019,56,No,Male,(D) Black or Black British - Other African,Yes,NULL,Other religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Finsbury Park
Bopolo Bolikango ,14-11-2019,56,No,Male,(D) Black or Black British - Other African,Yes,NULL,Other religion,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Finsbury Park
No Outcome,24-06-2021,42,Yes,Female,(A) White - British,No,NULL,Christian,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Finsbury Park
No Outcome,30-06-2021,54,Blanks,Male,(B) Mixed - White and Black Caribbean,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,28-04-2021,25,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,17-07-2018,32,Yes,Female,(D) Black or Black British - Caribbean,No,NULL,Christian,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Blanks,Income support (IS),Finsbury Park
No Outcome,30-06-2021,22,Blanks,Female,(C) Asian or Asian British - Chinese,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Bloomsbury
No Outcome,25-09-2018,35,Yes,Female,(A) White - British,No,NULL,Christian,Prefer not to say sexuality,Blanks,Yes,Income support (IS),Clerkenwell
No Outcome,30-10-2020,21,No,Female,(C) Asian or Asian British - Bangladeshi,No,NULL,Blanks,Blanks,ISCED Level 5 (Short cycle tertiary education),Yes,Job seekers allowance (JSA),Clerkenwell
No Outcome,04-07-2018,19,Blanks,Male,(E) Other Ethnic Groups - Any other background,No,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),No,Not in receipt of benefits,Clerkenwell
Caterlink,01-05-2018,44,Yes,Female,(D) Black or Black British - Ghanaian,No,NULL,Christian,Heterosexual,ISCED Level 1 (Primary education),No,Not in receipt of benefits,Clerkenwell
No Outcome,03-03-2021,39,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Jewish,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,03-03-2021,36,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,21-06-2021,56,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,10-03-2021,45,Blanks,Male,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Gay / lesbian,Blanks,Blanks,NULL,Clerkenwell
No Outcome,30-06-2021,53,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Jewish,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,20-03-2019,36,No,Male,(D) Black or Black British - Any other Black background,No,NULL,Muslim,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),No,Not in receipt of benefits,Clerkenwell
No Outcome,30-03-2021,24,Blanks,Female,(E) Other Ethnic Group - Arab,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,17-05-2021,24,Blanks,Female,(A) White - British,Blanks,NULL,Muslim,Prefer not to say sexuality,Blanks,Blanks,NULL,Clerkenwell
No Outcome,09-03-2020,26,No,Female,(D) Black or Black British - Any other Black background,Yes,NULL,Christian,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,22-10-2020,26,No,Female,(D) Black or Black British - Other African,Yes,NULL,Prefer not to say religion,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,27-05-2020,40,Yes,Female,(D) Black or Black British - Any other Black background,No,NULL,Muslim,Heterosexual,ISCED Level 1 (Primary education),Yes,Universal credit (UC),Clerkenwell
No Outcome,17-03-2021,30,Blanks,Female,(D) Black or Black British - Eritrean,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,19-04-2021,23,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Clerkenwell
No Outcome,04-07-2019,38,Yes,Female,(E) Other Ethnic Groups - Prefer not to say,Yes,NULL,Other religion,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Highbury East
No Outcome,03-06-2021,62,Blanks,Male,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,24-03-2021,25,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,10-03-2021,51,Blanks,Female,(A) White - British,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,Highbury East
No Outcome,26-05-2021,57,Blanks,Female,(A) White - Irish,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Highbury East
No Outcome,14-09-2020,56,No,Female,(A) White - Any other White background,No,NULL,Prefer not to say religion,No response to sexuality,ISCED Level 7 (Master's or equivalent level),Yes,Universal credit (UC),Highbury East
Mihomecare- Islington Branch,18-02-2021,64,Blanks,Male,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Hindu,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,11-04-2021,30,Blanks,Female,(E) Other Ethnic Groups - Any other background,Blanks,NULL,Jewish,Bisexual,Blanks,Blanks,NULL,St George's
No Outcome,22-03-2021,53,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,03-03-2021,37,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,01-09-2021,33,Blanks,Male,(E) Other Ethnic Group - Latin American,Blanks,NULL,Prefer not to say religion,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,02-06-2021,25,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Jewish,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,23-03-2021,47,Blanks,Male,(B) Mixed - Any other Mixed background,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,04-08-2021,28,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,15-03-2021,28,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,06-12-2019,26,Yes,Male,(A) White - British,Yes,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,"Personal independence payment (PI), Employment support allowance (ESA)",St George's
Homedotcare,14-12-2020,35,Yes,Female,(A) White - Any other White background,No,NULL,No religion / atheist,Heterosexual,ISCED Level 4 (Post secondary - tertiary and non-tertiary),Yes,Universal credit (UC),Holloway
No Outcome,12-08-2020,23,Yes,Female,(B) Mixed - White and Black Caribbean,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),Holloway
No Outcome,19-05-2021,24,Blanks,Female,(D) Black or Black British - Ghanaian,Blanks,NULL,Other religion,Gay / lesbian,Blanks,Blanks,NULL,St George's
No Outcome,19-05-2021,20,Blanks,Female,(D) Black or Black British - Ghanaian,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,26-07-2021,43,Yes,Female,(C) Asian or Asian British - Pakistani,No,NULL,Muslim,Prefer not to say sexuality,Blanks,No,Not in receipt of benefits,St George's
No Outcome,17-12-2020,22,Blanks,Male,(A) White - British,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,St George's
No Outcome,15-03-2021,121,Blanks,Male,(D) Black or Black British - Caribbean,Blanks,NULL,Blanks,Blanks,Blanks,Blanks,NULL,St George's
No Outcome,03-08-2020,35,No,Female,(D) Black or Black British - Eritrean,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),St George's
No Outcome,08-03-2021,29,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,02-07-2021,45,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,27-04-2021,39,Yes,Male,(A) White - British,No,NULL,No religion / atheist,Heterosexual,ISCED Level 2 (Lower secondary education),Yes,Universal credit (UC),St George's
No Outcome,11-03-2021,39,Blanks,Female,(C) Asian or Asian British - Bangladeshi,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,22-05-2021,46,Blanks,Male,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,18-03-2019,48,No,Female,(D) Black or Black British - Caribbean,No,NULL,Prefer not to say religion,No response to sexuality,Blanks,No,Not in receipt of benefits,St George's
No Outcome,23-06-2021,48,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,11-06-2021,32,Blanks,Male,(E) Other Ethnic Groups - Prefer not to say,Blanks,NULL,Prefer not to say religion,Prefer not to say sexuality,Blanks,Blanks,NULL,St George's
No Outcome,26-02-2021,31,Blanks,Male,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,14-06-2021,40,Blanks,Female,(A) White - Any other White background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,04-12-2020,55,No,Male,(A) White - British,Yes,NULL,No religion / atheist,No response to sexuality,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),St George's
No Outcome,16-03-2021,37,Blanks,Female,(A) White - Turkish/ Turkish Cypriot,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,St George's
No Outcome,02-08-2021,37,Yes,Female,(A) White - Turkish/ Turkish Cypriot,No,NULL,No religion / atheist,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,Universal credit (UC),St George's
Lidl,15-11-2018,42,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,"Other benefit, Months on benefits",Finsbury Park
LBI,15-11-2018,42,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,"Other benefit, Months on benefits",Finsbury Park
GSFW LBI Youth & Community Services ,15-11-2018,42,Yes,Female,(E) Other Ethnic Groups - Any other background,No,NULL,Christian,Heterosexual,ISCED Level 6 (Bachelor's or equivalent level),Yes,"Other benefit, Months on benefits",Finsbury Park
No Outcome,20-08-2021,56,Blanks,Female,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
No Outcome,23-03-2018,56,Yes,Female,(D) Black or Black British - Other African,Blanks,NULL,Muslim,Heterosexual,ISCED Level 2 (Lower secondary education),Blanks,Months on benefits,Finsbury Park
No Outcome,13-05-2021,28,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Finsbury Park
Special People Partnership Ltd,15-01-2020,30,Yes,Female,(D) Black or Black British - Somali,No,NULL,Muslim,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Income support (IS),Tollington
No Outcome,05-03-2021,31,Blanks,Female,(A) White - British,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,16-06-2021,57,Blanks,Male,(B) Mixed - White and Black African,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,17-02-2020,22,No,Female,(D) Black or Black British - Caribbean,No,NULL,Prefer not to say religion,Heterosexual,ISCED Level 3 (Upper secondary education),Yes,Universal credit (UC),Tollington
No Outcome,18-08-2021,22,Blanks,Female,(D) Black or Black British - Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
London Borough Islington Council,02-09-2019,36,Yes,Female,(D) Black or Black British - Other African,Prefer not to say,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Tollington
London Borough of Islington ,02-09-2019,36,Yes,Female,(D) Black or Black British - Other African,Prefer not to say,NULL,Prefer not to say religion,Prefer not to say sexuality,ISCED Level 2 (Lower secondary education),No,Not in receipt of benefits,Tollington
No Outcome,02-09-2021,43,Blanks,Female,(A) White - Any other White background,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,24-06-2021,30,Blanks,Female,(D) Black or Black British - Somali,Blanks,NULL,Muslim,Heterosexual,Blanks,Blanks,NULL,Tollington
No Outcome,01-07-2021,48,Blanks,Female,(C) Asian or Asian British - Any other Asian background,Blanks,NULL,No religion / atheist,Heterosexual,Blanks,Blanks,NULL,Stroud Green
No Outcome,01-06-2021,50,Blanks,Female,(B) Mixed - White and Black Caribbean,Blanks,NULL,Christian,Heterosexual,Blanks,Blanks,NULL,Stroud Green
No Outcome,25-02-2021,22,Blanks,Female,(E) Other Ethnic Group - Latin American,Blanks,NULL,Other religion,Bisexual,Blanks,Blanks,NULL,Finsbury Park
